Datetime,Parking,Free Slots Original,Free Slots Imputation,Imputation type
2026-04-28 21:30:00,P+R Czerwone Maki,163.0,163,
2026-04-28 22:00:00,P+R Czerwone Maki,165.0,165,
2026-04-28 22:30:00,P+R Czerwone Maki,170.0,170,
2026-04-28 23:00:00,P+R Czerwone Maki,173.0,173,
2026-04-28 23:30:00,P+R Czerwone Maki,174.0,174,
2026-04-29 00:00:00,P+R Czerwone Maki,177.0,177,
2026-04-29 00:30:00,P+R Czerwone Maki,177.0,177,
2026-04-29 01:00:00,P+R Czerwone Maki,177.0,177,
2026-04-29 01:30:00,P+R Czerwone Maki,177.0,177,
2026-04-29 02:00:00,P+R Czerwone Maki,177.0,177,
2026-04-29 02:30:00,P+R Czerwone Maki,177.0,177,
2026-04-29 03:00:00,P+R Czerwone Maki,177.0,177,
2026-04-29 03:30:00,P+R Czerwone Maki,177.0,177,
2026-04-29 04:00:00,P+R Czerwone Maki,177.0,177,
2026-04-29 04:30:00,P+R Czerwone Maki,183.0,183,
2026-04-29 05:00:00,P+R Czerwone Maki,179.0,179,
2026-04-29 05:30:00,P+R Czerwone Maki,174.0,174,
2026-04-29 06:00:00,P+R Czerwone Maki,162.0,162,
2026-04-29 06:30:00,P+R Czerwone Maki,145.0,145,
2026-04-29 07:00:00,P+R Czerwone Maki,129.0,129,
2026-04-29 07:30:00,P+R Czerwone Maki,102.0,102,
2026-04-29 08:00:00,P+R Czerwone Maki,80.0,80,
2026-04-29 08:30:00,P+R Czerwone Maki,56.0,56,
2026-04-29 09:00:00,P+R Czerwone Maki,39.0,39,
2026-04-29 09:30:00,P+R Czerwone Maki,29.0,29,
2026-04-29 10:00:00,P+R Czerwone Maki,18.0,18,
2026-04-29 10:30:00,P+R Czerwone Maki,16.0,16,
2026-04-29 11:00:00,P+R Czerwone Maki,14.0,14,
2026-04-29 11:30:00,P+R Czerwone Maki,14.0,14,
2026-04-29 12:00:00,P+R Czerwone Maki,16.0,16,
2026-04-29 12:30:00,P+R Czerwone Maki,18.0,18,
2026-04-29 13:00:00,P+R Czerwone Maki,17.0,17,
2026-04-29 13:30:00,P+R Czerwone Maki,22.0,22,
2026-04-29 14:00:00,P+R Czerwone Maki,23.0,23,
2026-04-29 14:30:00,P+R Czerwone Maki,21.0,21,
2026-04-29 15:00:00,P+R Czerwone Maki,23.0,23,
2026-04-29 15:30:00,P+R Czerwone Maki,36.0,36,
2026-04-29 16:00:00,P+R Czerwone Maki,53.0,53,
2026-04-29 16:30:00,P+R Czerwone Maki,73.0,73,
2026-04-29 17:00:00,P+R Czerwone Maki,92.0,92,
2026-04-29 17:30:00,P+R Czerwone Maki,106.0,106,
2026-04-29 18:00:00,P+R Czerwone Maki,114.0,114,
2026-04-29 18:30:00,P+R Czerwone Maki,,114,forward_fill
2026-04-29 19:00:00,P+R Czerwone Maki,132.0,132,
2026-04-29 19:30:00,P+R Czerwone Maki,140.0,140,
2026-04-29 20:00:00,P+R Czerwone Maki,144.0,144,
2026-04-29 20:30:00,P+R Czerwone Maki,151.0,151,
2026-04-29 21:00:00,P+R Czerwone Maki,158.0,158,
2026-04-29 21:30:00,P+R Czerwone Maki,163.0,163,
2026-04-29 22:00:00,P+R Czerwone Maki,163.0,163,
2026-04-29 22:30:00,P+R Czerwone Maki,167.0,167,
2026-04-29 23:00:00,P+R Czerwone Maki,172.0,172,
2026-04-29 23:30:00,P+R Czerwone Maki,173.0,173,
2026-04-30 00:00:00,P+R Czerwone Maki,179.0,179,
2026-04-30 00:30:00,P+R Czerwone Maki,180.0,180,
2026-04-30 01:00:00,P+R Czerwone Maki,180.0,180,
2026-04-30 01:30:00,P+R Czerwone Maki,180.0,180,
2026-04-30 02:00:00,P+R Czerwone Maki,180.0,180,
2026-04-30 02:30:00,P+R Czerwone Maki,180.0,180,
2026-04-30 03:00:00,P+R Czerwone Maki,180.0,180,
2026-04-30 03:30:00,P+R Czerwone Maki,180.0,180,
2026-04-30 04:00:00,P+R Czerwone Maki,180.0,180,
2026-04-30 04:30:00,P+R Czerwone Maki,183.0,183,
2026-04-30 05:00:00,P+R Czerwone Maki,181.0,181,
2026-04-30 05:30:00,P+R Czerwone Maki,176.0,176,
2026-04-30 06:00:00,P+R Czerwone Maki,164.0,164,
2026-04-30 06:30:00,P+R Czerwone Maki,151.0,151,
2026-04-30 07:00:00,P+R Czerwone Maki,135.0,135,
2026-04-30 07:30:00,P+R Czerwone Maki,105.0,105,
2026-04-30 08:00:00,P+R Czerwone Maki,92.0,92,
2026-04-30 08:30:00,P+R Czerwone Maki,83.0,83,
2026-04-30 09:00:00,P+R Czerwone Maki,70.0,70,
2026-04-30 09:30:00,P+R Czerwone Maki,56.0,56,
2026-04-30 10:00:00,P+R Czerwone Maki,55.0,55,
2026-04-30 10:30:00,P+R Czerwone Maki,47.0,47,
2026-04-30 11:00:00,P+R Czerwone Maki,41.0,41,
2026-04-30 11:30:00,P+R Czerwone Maki,42.0,42,
2026-04-30 12:00:00,P+R Czerwone Maki,44.0,44,
2026-04-30 12:30:00,P+R Czerwone Maki,44.0,44,
2026-04-30 13:00:00,P+R Czerwone Maki,41.0,41,
2026-04-30 13:30:00,P+R Czerwone Maki,44.0,44,
2026-04-30 14:00:00,P+R Czerwone Maki,44.0,44,
2026-04-30 14:30:00,P+R Czerwone Maki,46.0,46,
2026-04-30 15:00:00,P+R Czerwone Maki,59.0,59,
2026-04-30 15:30:00,P+R Czerwone Maki,65.0,65,
2026-04-30 16:00:00,P+R Czerwone Maki,86.0,86,
2026-04-30 16:30:00,P+R Czerwone Maki,102.0,102,
2026-04-30 17:00:00,P+R Czerwone Maki,118.0,118,
2026-04-30 17:30:00,P+R Czerwone Maki,125.0,125,
2026-04-30 18:00:00,P+R Czerwone Maki,129.0,129,
2026-04-30 18:30:00,P+R Czerwone Maki,129.0,129,
2026-04-30 19:00:00,P+R Czerwone Maki,138.0,138,
2026-04-30 19:30:00,P+R Czerwone Maki,143.0,143,
2026-04-30 20:00:00,P+R Czerwone Maki,146.0,146,
2026-04-30 20:30:00,P+R Czerwone Maki,149.0,149,
2026-04-30 21:00:00,P+R Czerwone Maki,153.0,153,
2026-04-30 21:30:00,P+R Czerwone Maki,156.0,156,
2026-04-30 22:00:00,P+R Czerwone Maki,,159,linear interpolation
2026-04-30 22:30:00,P+R Czerwone Maki,,162,linear interpolation
2026-04-30 23:00:00,P+R Czerwone Maki,,165,linear interpolation
2026-04-30 23:30:00,P+R Czerwone Maki,,168,linear interpolation
2026-05-01 00:00:00,P+R Czerwone Maki,,171,linear interpolation
2026-05-01 00:30:00,P+R Czerwone Maki,,174,linear interpolation
2026-05-01 01:00:00,P+R Czerwone Maki,,177,linear interpolation
2026-05-01 01:30:00,P+R Czerwone Maki,,180,linear interpolation
2026-05-01 02:00:00,P+R Czerwone Maki,183.0,183,
2026-05-01 02:30:00,P+R Czerwone Maki,183.0,183,
2026-05-01 03:00:00,P+R Czerwone Maki,183.0,183,
2026-05-01 03:30:00,P+R Czerwone Maki,183.0,183,
2026-05-01 04:00:00,P+R Czerwone Maki,183.0,183,
2026-05-01 04:30:00,P+R Czerwone Maki,183.0,183,
2026-05-01 05:00:00,P+R Czerwone Maki,183.0,183,
2026-05-01 05:30:00,P+R Czerwone Maki,183.0,183,
2026-05-01 06:00:00,P+R Czerwone Maki,182.0,182,
2026-05-01 06:30:00,P+R Czerwone Maki,181.0,181,
2026-05-01 07:00:00,P+R Czerwone Maki,180.0,180,
2026-05-01 07:30:00,P+R Czerwone Maki,178.0,178,
2026-05-01 08:00:00,P+R Czerwone Maki,177.0,177,
2026-05-01 08:30:00,P+R Czerwone Maki,176.0,176,
2026-05-01 09:00:00,P+R Czerwone Maki,176.0,176,
2026-05-01 09:30:00,P+R Czerwone Maki,171.0,171,
2026-05-01 10:00:00,P+R Czerwone Maki,169.0,169,
2026-05-01 10:30:00,P+R Czerwone Maki,165.0,165,
2026-05-01 11:00:00,P+R Czerwone Maki,162.0,162,
2026-05-01 11:30:00,P+R Czerwone Maki,159.0,159,
2026-05-01 12:00:00,P+R Czerwone Maki,152.0,152,
2026-05-01 12:30:00,P+R Czerwone Maki,149.0,149,
2026-05-01 13:00:00,P+R Czerwone Maki,150.0,150,
2026-05-01 13:30:00,P+R Czerwone Maki,148.0,148,
2026-05-01 14:00:00,P+R Czerwone Maki,148.0,148,
2026-05-01 14:30:00,P+R Czerwone Maki,148.0,148,
2026-05-01 15:00:00,P+R Czerwone Maki,145.0,145,
2026-05-01 15:30:00,P+R Czerwone Maki,145.0,145,
2026-05-01 16:00:00,P+R Czerwone Maki,,146,linear interpolation
2026-05-01 16:30:00,P+R Czerwone Maki,,147,linear interpolation
2026-05-01 17:00:00,P+R Czerwone Maki,,148,linear interpolation
2026-05-01 17:30:00,P+R Czerwone Maki,149.0,149,
2026-05-01 18:00:00,P+R Czerwone Maki,147.0,147,
2026-05-01 18:30:00,P+R Czerwone Maki,151.0,151,
