Datetime;Parking;Free slots
2026-04-28 21:30:00;P+R Górka Narodowa;411.0
2026-04-28 21:30:00;P+R Pachońskiego;81.0
2026-04-28 21:30:00;P+R Krowodrza Górka;87.0
2026-04-28 21:30:00;P+R Czerwone Maki;163.0
2026-04-28 21:30:00;P+R Mały Płaszów;146.0
2026-04-28 21:30:00;P+R Nowy Bieżanów;91.0
2026-04-28 21:30:00;P+R Kurdwanów;145.0
2026-04-28 22:00:00;P+R Górka Narodowa;419.0
2026-04-28 22:00:00;P+R Pachońskiego;83.0
2026-04-28 22:00:00;P+R Krowodrza Górka;91.0
2026-04-28 22:00:00;P+R Czerwone Maki;165.0
2026-04-28 22:00:00;P+R Mały Płaszów;147.0
2026-04-28 22:00:00;P+R Nowy Bieżanów;93.0
2026-04-28 22:00:00;P+R Kurdwanów;146.0
2026-04-28 22:30:00;P+R Górka Narodowa;426.0
2026-04-28 22:30:00;P+R Pachońskiego;87.0
2026-04-28 22:30:00;P+R Krowodrza Górka;96.0
2026-04-28 22:30:00;P+R Czerwone Maki;170.0
2026-04-28 22:30:00;P+R Mały Płaszów;148.0
2026-04-28 22:30:00;P+R Nowy Bieżanów;94.0
2026-04-28 22:30:00;P+R Kurdwanów;150.0
2026-04-28 23:00:00;P+R Górka Narodowa;431.0
2026-04-28 23:00:00;P+R Pachońskiego;88.0
2026-04-28 23:00:00;P+R Krowodrza Górka;101.0
2026-04-28 23:00:00;P+R Czerwone Maki;173.0
2026-04-28 23:00:00;P+R Mały Płaszów;149.0
2026-04-28 23:00:00;P+R Nowy Bieżanów;95.0
2026-04-28 23:00:00;P+R Kurdwanów;152.0
2026-04-28 23:30:00;P+R Górka Narodowa;434.0
2026-04-28 23:30:00;P+R Pachońskiego;88.0
2026-04-28 23:30:00;P+R Krowodrza Górka;101.0
2026-04-28 23:30:00;P+R Czerwone Maki;174.0
2026-04-28 23:30:00;P+R Mały Płaszów;151.0
2026-04-28 23:30:00;P+R Nowy Bieżanów;96.0
2026-04-28 23:30:00;P+R Kurdwanów;152.0
2026-04-29 00:00:00;P+R Górka Narodowa;434.0
2026-04-29 00:00:00;P+R Pachońskiego;88.0
2026-04-29 00:00:00;P+R Krowodrza Górka;101.0
2026-04-29 00:00:00;P+R Czerwone Maki;177.0
2026-04-29 00:00:00;P+R Mały Płaszów;152.0
2026-04-29 00:00:00;P+R Nowy Bieżanów;97.0
2026-04-29 00:00:00;P+R Kurdwanów;154.0
2026-04-29 00:30:00;P+R Górka Narodowa;434.0
2026-04-29 00:30:00;P+R Pachońskiego;88.0
2026-04-29 00:30:00;P+R Krowodrza Górka;101.0
2026-04-29 00:30:00;P+R Czerwone Maki;177.0
2026-04-29 00:30:00;P+R Mały Płaszów;152.0
2026-04-29 00:30:00;P+R Nowy Bieżanów;97.0
2026-04-29 00:30:00;P+R Kurdwanów;154.0
2026-04-29 01:00:00;P+R Górka Narodowa;434.0
2026-04-29 01:00:00;P+R Pachońskiego;88.0
2026-04-29 01:00:00;P+R Krowodrza Górka;101.0
2026-04-29 01:00:00;P+R Czerwone Maki;177.0
2026-04-29 01:00:00;P+R Mały Płaszów;152.0
2026-04-29 01:00:00;P+R Nowy Bieżanów;97.0
2026-04-29 01:00:00;P+R Kurdwanów;154.0
2026-04-29 01:30:00;P+R Górka Narodowa;434.0
2026-04-29 01:30:00;P+R Pachońskiego;88.0
2026-04-29 01:30:00;P+R Krowodrza Górka;101.0
2026-04-29 01:30:00;P+R Czerwone Maki;177.0
2026-04-29 01:30:00;P+R Mały Płaszów;152.0
2026-04-29 01:30:00;P+R Nowy Bieżanów;97.0
2026-04-29 01:30:00;P+R Kurdwanów;154.0
2026-04-29 02:00:00;P+R Górka Narodowa;434.0
2026-04-29 02:00:00;P+R Pachońskiego;88.0
2026-04-29 02:00:00;P+R Krowodrza Górka;101.0
2026-04-29 02:00:00;P+R Czerwone Maki;177.0
2026-04-29 02:00:00;P+R Mały Płaszów;152.0
2026-04-29 02:00:00;P+R Nowy Bieżanów;97.0
2026-04-29 02:00:00;P+R Kurdwanów;154.0
2026-04-29 02:30:00;P+R Górka Narodowa;434.0
2026-04-29 02:30:00;P+R Pachońskiego;88.0
2026-04-29 02:30:00;P+R Krowodrza Górka;101.0
2026-04-29 02:30:00;P+R Czerwone Maki;177.0
2026-04-29 02:30:00;P+R Mały Płaszów;152.0
2026-04-29 02:30:00;P+R Nowy Bieżanów;97.0
2026-04-29 02:30:00;P+R Kurdwanów;154.0
2026-04-29 03:00:00;P+R Górka Narodowa;434.0
2026-04-29 03:00:00;P+R Pachońskiego;88.0
2026-04-29 03:00:00;P+R Krowodrza Górka;101.0
2026-04-29 03:00:00;P+R Czerwone Maki;177.0
2026-04-29 03:00:00;P+R Mały Płaszów;152.0
2026-04-29 03:00:00;P+R Nowy Bieżanów;97.0
2026-04-29 03:00:00;P+R Kurdwanów;154.0
2026-04-29 03:30:00;P+R Górka Narodowa;434.0
2026-04-29 03:30:00;P+R Pachońskiego;88.0
2026-04-29 03:30:00;P+R Krowodrza Górka;101.0
2026-04-29 03:30:00;P+R Czerwone Maki;177.0
2026-04-29 03:30:00;P+R Mały Płaszów;152.0
2026-04-29 03:30:00;P+R Nowy Bieżanów;97.0
2026-04-29 03:30:00;P+R Kurdwanów;154.0
2026-04-29 04:00:00;P+R Górka Narodowa;434.0
2026-04-29 04:00:00;P+R Pachońskiego;88.0
2026-04-29 04:00:00;P+R Krowodrza Górka;101.0
2026-04-29 04:00:00;P+R Czerwone Maki;177.0
2026-04-29 04:00:00;P+R Mały Płaszów;152.0
2026-04-29 04:00:00;P+R Nowy Bieżanów;97.0
2026-04-29 04:00:00;P+R Kurdwanów;154.0
2026-04-29 04:30:00;P+R Górka Narodowa;434.0
2026-04-29 04:30:00;P+R Pachońskiego;88.0
2026-04-29 04:30:00;P+R Krowodrza Górka;101.0
2026-04-29 04:30:00;P+R Czerwone Maki;183.0
2026-04-29 04:30:00;P+R Mały Płaszów;155.0
2026-04-29 04:30:00;P+R Nowy Bieżanów;100.0
2026-04-29 04:30:00;P+R Kurdwanów;155.0
2026-04-29 05:00:00;P+R Górka Narodowa;433.0
2026-04-29 05:00:00;P+R Pachońskiego;86.0
2026-04-29 05:00:00;P+R Krowodrza Górka;99.0
2026-04-29 05:00:00;P+R Czerwone Maki;179.0
2026-04-29 05:00:00;P+R Mały Płaszów;153.0
2026-04-29 05:00:00;P+R Nowy Bieżanów;98.0
2026-04-29 05:00:00;P+R Kurdwanów;153.0
2026-04-29 05:30:00;P+R Górka Narodowa;431.0
2026-04-29 05:30:00;P+R Pachońskiego;81.0
2026-04-29 05:30:00;P+R Krowodrza Górka;97.0
2026-04-29 05:30:00;P+R Czerwone Maki;174.0
2026-04-29 05:30:00;P+R Mały Płaszów;153.0
2026-04-29 05:30:00;P+R Nowy Bieżanów;94.0
2026-04-29 05:30:00;P+R Kurdwanów;148.0
2026-04-29 06:00:00;P+R Górka Narodowa;422.0
2026-04-29 06:00:00;P+R Pachońskiego;67.0
2026-04-29 06:00:00;P+R Krowodrza Górka;91.0
2026-04-29 06:00:00;P+R Czerwone Maki;162.0
2026-04-29 06:00:00;P+R Mały Płaszów;152.0
2026-04-29 06:00:00;P+R Nowy Bieżanów;87.0
2026-04-29 06:00:00;P+R Kurdwanów;143.0
2026-04-29 06:30:00;P+R Górka Narodowa;410.0
2026-04-29 06:30:00;P+R Pachońskiego;47.0
2026-04-29 06:30:00;P+R Krowodrza Górka;82.0
2026-04-29 06:30:00;P+R Czerwone Maki;145.0
2026-04-29 06:30:00;P+R Mały Płaszów;143.0
2026-04-29 06:30:00;P+R Nowy Bieżanów;68.0
2026-04-29 06:30:00;P+R Kurdwanów;131.0
2026-04-29 07:00:00;P+R Górka Narodowa;368.0
2026-04-29 07:00:00;P+R Pachońskiego;12.0
2026-04-29 07:00:00;P+R Krowodrza Górka;50.0
2026-04-29 07:00:00;P+R Czerwone Maki;129.0
2026-04-29 07:00:00;P+R Mały Płaszów;134.0
2026-04-29 07:00:00;P+R Nowy Bieżanów;36.0
2026-04-29 07:00:00;P+R Kurdwanów;111.0
2026-04-29 07:30:00;P+R Górka Narodowa;321.0
2026-04-29 07:30:00;P+R Pachońskiego;0.0
2026-04-29 07:30:00;P+R Krowodrza Górka;3.0
2026-04-29 07:30:00;P+R Czerwone Maki;102.0
2026-04-29 07:30:00;P+R Mały Płaszów;124.0
2026-04-29 07:30:00;P+R Nowy Bieżanów;4.0
2026-04-29 07:30:00;P+R Kurdwanów;94.0
2026-04-29 08:00:00;P+R Górka Narodowa;281.0
2026-04-29 08:00:00;P+R Pachońskiego;0.0
